# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
7.334177629579450297e+00,3.667088814789725149e+00,-3.667088814789725149e+00,-4.605780147569259077e-07,5.670818917145231793e-18
7.945359098711071155e+00,4.278270283921346007e+00,-4.278270283921346007e+00,-3.701794245375921166e-08,8.642333862211423096e-18
8.556540567842692013e+00,4.889451753052965977e+00,-4.889451753052965977e+00,-1.890897255573555486e-09,1.888958502464941846e-18
9.167722036974312871e+00,5.500633222184587723e+00,-5.500633222184587723e+00,3.927793067479399899e-08,-1.033215343827590046e-17
9.778903506105933729e+00,6.111814691316208581e+00,-6.111814691316208581e+00,5.275074546198747440e-08,-7.952154091732457005e-18
1.039008497523755281e+01,6.722996160447827663e+00,-6.722996160447827663e+00,-3.492289303755888687e-08,-2.938179111295754160e-18
1.100126644436917367e+01,7.334177629579448521e+00,-7.334177629579448521e+00,-1.877352547634112926e-12,3.616447089553545742e-18
-6.111814691316208581e+00,-9.778903506105933729e+00,9.778903506105933729e+00,-1.997760749740528013e-12,-1.005556521891038571e-17
-5.500633222184587723e+00,-9.167722036974312871e+00,9.167722036974312871e+00,-3.492071894741144852e-08,-2.276513129182008700e-18
-4.889451753052965977e+00,-8.556540567842692013e+00,8.556540567842692013e+00,5.274687406203797880e-08,9.461512272174259769e-18
-4.278270283921346007e+00,-7.945359098711071155e+00,7.945359098711071155e+00,3.925399021095071541e-08,6.608102307326380589e-18
-3.667088814789725149e+00,-7.334177629579450297e+00,7.334177629579450297e+00,-1.935435266700751570e-09,9.386201806336842528e-18
-3.055907345658104290e+00,-6.722996160447829439e+00,6.722996160447829439e+00,-3.731661359851088149e-08,-6.000103741788220912e-18
-2.444725876526482544e+00,-6.111814691316207693e+00,6.111814691316207693e+00,-4.638249591882352544e-07,-1.310861470241336627e-17
-1.833544407394862574e+00,-5.500633222184587723e+00,5.500633222184587723e+00,6.518177387091272183e-07,-6.421044560949363956e-18
-1.222362938263241716e+00,-4.889451753052966865e+00,4.889451753052966865e+00,-1.345691667729784040e-07,2.886495980088933929e-18
-6.111814691316208581e-01,-4.278270283921346007e+00,4.278270283921346007e+00,4.747967217237746148e-06,8.116215594064239010e-18
0.000000000000000000e+00,-3.667088814789725149e+00,3.667088814789725149e+00,1.434646586546064991e-06,9.151309958298718404e-18
6.111814691316208581e-01,-3.055907345658104290e+00,3.055907345658104290e+00,-2.397450104006664215e-05,8.818751154620090528e-19
1.222362938263241716e+00,-2.444725876526483432e+00,2.444725876526483432e+00,1.082900354232302755e-04,-4.327450996496679822e-18
2.444725876526483432e+00,-2.444725876526483432e+00,2.444725876526483432e+00,7.445330442745416559e-05,1.677607336413878100e-18
3.055907345658104290e+00,-1.833544407394862574e+00,1.833544407394862574e+00,4.086106712659230342e-05,1.109706952998659627e-17
3.667088814789725149e+00,-1.222362938263241716e+00,1.222362938263241716e+00,-3.038419833068005740e-05,7.741154439449343351e-18
4.278270283921346007e+00,-6.111814691316208581e-01,6.111814691316208581e-01,-5.259527361007888249e-05,4.739979224417662938e-18
4.889451753052966865e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.696818185149525163e-05,-1.642338670426392000e-17
5.500633222184587723e+00,6.111814691316208581e-01,-6.111814691316208581e-01,1.386797318393850219e-06,-3.175255358985221508e-18
6.111814691316208581e+00,1.222362938263241716e+00,-1.222362938263241716e+00,7.112120290394432295e-07,-4.386386050471885317e-18
6.722996160447828551e+00,1.833544407394861686e+00,-1.833544407394861686e+00,5.098964718119412092e-07,5.723254117586587645e-18
7.334177629579450297e+00,2.444725876526483432e+00,-2.444725876526483432e+00,7.053875435595021867e-07,9.990629732981937912e-18
7.945359098711071155e+00,3.055907345658104290e+00,-3.055907345658104290e+00,-3.237358537295854804e-07,3.323136992766991853e-18
8.556540567842692013e+00,3.667088814789725149e+00,-3.667088814789725149e+00,-4.384400580972560475e-09,-4.878457016818211052e-18
9.167722036974311095e+00,4.278270283921345118e+00,-4.278270283921345118e+00,-1.373677861251370817e-07,-8.523359571642272964e-18
9.778903506105933729e+00,4.889451753052966865e+00,-4.889451753052966865e+00,4.754537862333975281e-08,-2.442070735490233232e-18
