# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
-3.733251557180345515e+00,-7.466503114360691029e+00,7.466503114360691029e+00,-1.702206062390394259e-06,0.000000000000000000e+00
-2.799938667885259136e+00,-6.533190225065604650e+00,6.533190225065604650e+00,-2.216876307971419345e-06,0.000000000000000000e+00
-1.866625778590172757e+00,-5.599877335770518272e+00,5.599877335770518272e+00,-3.668127050383830602e-06,0.000000000000000000e+00
-9.333128892950863786e-01,-4.666564446475431893e+00,4.666564446475431893e+00,-8.158572891509371537e-05,0.000000000000000000e+00
0.000000000000000000e+00,-3.733251557180345515e+00,3.733251557180345515e+00,-5.336757645588706975e-04,0.000000000000000000e+00
9.333128892950863786e-01,-2.799938667885259136e+00,2.799938667885259136e+00,-5.370408806683674087e-05,0.000000000000000000e+00
2.799938667885259136e+00,-2.799938667885259136e+00,2.799938667885259136e+00,9.423709809773474135e-04,0.000000000000000000e+00
3.733251557180345515e+00,-1.866625778590172757e+00,1.866625778590172757e+00,8.934039513088661792e-04,0.000000000000000000e+00
4.666564446475431893e+00,-9.333128892950863786e-01,9.333128892950863786e-01,6.237241359758898158e-04,0.000000000000000000e+00
5.599877335770518272e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.742296567194713973e-15,0.000000000000000000e+00
6.533190225065604650e+00,9.333128892950863786e-01,-9.333128892950863786e-01,-1.139222320084573250e-04,0.000000000000000000e+00
7.466503114360691029e+00,1.866625778590172757e+00,-1.866625778590172757e+00,-1.760601546972200048e-05,0.000000000000000000e+00
8.399816003655777408e+00,2.799938667885259136e+00,-2.799938667885259136e+00,7.403211666644513383e-07,0.000000000000000000e+00
9.333128892950863786e+00,3.733251557180344626e+00,-3.733251557180344626e+00,-1.785261873151529381e-07,0.000000000000000000e+00
1.026644178224595017e+01,4.666564446475431893e+00,-4.666564446475431893e+00,2.749997280051238414e-07,0.000000000000000000e+00
1.119975467154103654e+01,5.599877335770518272e+00,-5.599877335770518272e+00,3.796401650924565510e-07,0.000000000000000000e+00
1.213306756083612292e+01,6.533190225065604650e+00,-6.533190225065604650e+00,-2.167713602493200302e-07,0.000000000000000000e+00
-4.666564446475431893e+00,-1.026644178224595017e+01,1.026644178224595017e+01,-2.167709271060235930e-07,0.000000000000000000e+00
-3.733251557180344626e+00,-9.333128892950863786e+00,9.333128892950863786e+00,3.798401206265152818e-07,0.000000000000000000e+00
-2.799938667885259136e+00,-8.399816003655777408e+00,8.399816003655777408e+00,2.735051185340643227e-07,0.000000000000000000e+00
